COG Customer Item Number,TEC Item Number,Item Descripton,Supplier Code,Subcategory,Price
361125,GA9842GAA,CONNECTOR VISE TYPE AL 6SOL - 795STR,TEC05,3CONNMECH  ,20.48
361578,GG1525,GUARD WILDLIFE ELECTROSTATIC FOR OH BUSHING/ARRESTER FOR 1.5-2.5 NECK,3M002,3WILDLIFE  ,14.9
360308,31012,FUSE FIT ALL TYPE K 12A,COO02,3FUSE      ,4.64
360005,RISER 6 SOL CU 500FT NRR,6 AWG CU SOLID XLP RISER 500FT NRR,SER02,3WIRERISER ,1.23
360132,AL-336.4-76A,SPLICE COMPRESSION 336.4 19STR AAC FULL TENSION,NAT40,3CONNCOMP  ,26.67
362137,PLUG PVC CONDUIT 4,PLUG PVC 4IN CONDUIT W/ PULL TAB (59655),ATK01,3CONDUFITT ,2.06
360403,TB502SS,BOLT HEX CAP 1/2 X 2 STAINLESS STEEL,ALL15,3FASTENERS ,0.61
366915,ZDA210P8084,METER FOCUS A3TLN FM 3S CL20 120-480V CITY OF GTOWN,CIT05,3METER     ,0
360273,C2050188,LOCKWASHER DOUBLE COIL FOR 3/8 BOLT,CIT05,3BOLTWSHR  ,0
360010,SL-5,GREASE SILICONE 5.3 OZ TUBE (FOR RUBBER GOODS),THO05,3TERMINATO ,9.75
