360047,77-3INX20FT,TAPE ELECTRICAL 3INX20FT BLK,3M002,3TAPE      ,14,27.64,1
360048,WOFFORD 500QUAD 500FTNRR,500 MCM AL QUAD 500-500-500-350 URD 500FT NRR,HOU03,3WIREUDSEC ,14,6.62,1
360049,RUTGERS 1000FT NRR,350 MCM AL 37STR XLP USE-2 1 COND 1000FT 32X24 NRR,CME02,3WIREUDSEC ,98,3.10,1
360050,CP74002PPPB,SECTIONALIZER 27KV 125KV BIL PROGRAMMABLE 10A - 480A 3 COUNT STD W/POLY MOUNTING ASSY,ARK05,3SECTIONAL ,42,1313.72,1
360051,PVI41-386-12-12,SWITCHGEAR PADMOUNT 25KV 125KV BIL SF6 DEADFRONT 4 WAY SWITCH,RYA03,3SWITCHURD ,182,58479.01,1
360052,500 25KV CU 1C EPR 1/3N 2500,500 25KV CU STR EPR 260MIL 1/3N NRR,CME02,3WIREMV    ,96,12.72,1
360053,NOTRE DAME 1500FT NRR,1/0 AWG AL QUAD 1/0-1/0-1/0-2 URD 1500FT 48X28X24 NRR,CME02,3WIREUDSEC ,372,1.65,1
360054,WAKEFOREST 1500FT NRR,4/0 AWG AL QUAD 4/0-4/0-4/0-2/0 URD 1500FT 54X32X24 NRR,CME02,3WIREUDSEC ,328,3.50,1
360055,BRENAU 1000FT NRR,1/0 AWG AL TRIPLEX 1/0-1/0-2 URD 1000FT 40X24X17 NRR,CME02,3WIREUDSEC ,372,1.51,1
360056,SWEETBRIAR 1000FT NRR,4/0 AWG AL TRIPLEX 4/0-4/0-2/0 URD 1000FT 42X26X18 NRR,CME02,3WIREUDSEC ,371,3.22,1
360057,PA21-P302,INTERRUPTER SINGLE PHASE PADMOUNT SWITCH 25KV 800AMP,RYA03,3SWITCHURD ,182,13370.37,1
360058,PVI42-386-12-9,INSULATED DEADFRONT PDMNT 4 WAY SWITCHGEAR 3 PHASE 25KV 125KV BIL,GWE02,3SWITCHURD ,147,45091.36,1
360059,PVI43-386-12-11,SWITCHGEAR 27KV 125KV BIL SF6 INSULATED DEADFRONT PDMNT 3 WAY 1 LOAD SWITCH,RYA03,3SWITCHURD ,58,50817.28,1
360060,25 DV-240/120 PAD,PAD 25 KVA 14400X7200 240/120 1PH,GEP01,3TRANURD1P ,63,2814.65,1
360062,50 DV-240/120 PAD,PAD 50 KVA 14400X7200 240/120 1PH,GEP01,3TRANURD1P ,63,2775.52,1
360063,75 DV-240/120 PAD,PAD 75 KVA 14400X7200 240/120 1PH,GEP01,3TRANURD1P ,63,3157.86,1
360064,100 DV-240/120 PAD,PAD 100 KVA 14400X7200 240/120 1PH,GEP01,3TRANURD1P ,63,3628.31,1
360065,167 DV-240/120 PAD,PAD 167 KVA 14400X7200 240/120 1PH,GEP01,3TRANURD1P ,63,4873.58,1
360066,WPBBN-BOX25,SHELL WEJ TAP CARTRIDGE BLUE,FCI02,3CONNSHOOT ,42,3.54,1
360067,75 DV-208/120 3PH PAD,PAD 75 KVA 14400X7200 208/120 3PH,ERM02,3TRANURD3P ,217,8910.69,1
